CardID,R_Score,F_Score,M_Score,RFM_Segment,Segment
C0100171993,5,1,3,513,Other
C0100172416,5,1,4,514,Other
C0100172663,2,1,1,211,Other
C0100172735,3,4,3,343,Other
C0100173119,4,1,2,412,Other
C0100173452,2,2,4,224,Other
C0100173494,1,2,1,121,Other
C0100173612,3,5,5,355,Other
C0100173838,3,3,4,334,Other
C0100174129,3,1,4,314,Other
C0100174316,1,1,2,112,Other
C0100174700,3,3,2,332,Other
C0100174775,5,5,4,554,Lovers
C0100175096,2,4,5,245,Other
C0100175154,1,5,4,154,Other
C0100175646,1,1,5,115,Other
C0100175719,5,5,5,555,Soulmates
C0100175833,3,1,1,311,Other
C0100176580,1,5,5,155,Ex-Lovers
C0100177468,3,5,5,355,Other
C0100177589,3,3,4,334,Other
C0100177895,1,1,1,111,Other
C0100178052,5,1,1,511,Apprentice
C0100178169,3,2,4,324,Other
C0100178540,5,2,1,521,Other
C0100178565,4,2,2,422,Other
C0100178884,1,1,1,111,Other
C0100178931,1,1,5,115,Other
C0100179542,2,5,5,255,Other
C0100179571,4,5,5,455,Lovers
C0100179831,1,1,1,111,Other
C0100180076,3,2,2,322,Other
C0100180100,1,1,1,111,Other
C0100180554,3,4,1,341,Other
C0100180847,2,1,2,212,Other
C0100180956,2,3,3,233,Other
C0100180990,1,1,1,111,Other
C0100181209,2,3,3,233,Other
C0100181514,5,2,4,524,Other
C0100181550,4,1,2,412,Other
C0100181819,2,1,4,214,Other
C0100181832,3,3,3,333,Other
C0100182139,1,1,4,114,Other
C0100182254,2,2,4,224,Other
C0100182478,4,2,4,424,Other
C0100182769,5,5,5,555,Soulmates
C0100183635,4,2,4,424,Other
C0100184693,3,2,3,323,Other
C0100184709,2,1,2,212,Other
C0100184837,2,4,2,242,Other
C0100185956,2,2,2,222,Other
C0100185978,5,5,5,555,Soulmates
C0100186024,5,2,2,522,Other
C0100186094,2,2,3,223,Other
C0100186288,4,5,5,455,Lovers
C0100186488,3,1,3,313,Other
C0100186917,3,5,5,355,Other
C0100187021,5,3,5,535,Other
C0100187500,3,3,4,334,Other
C0100187683,5,2,2,522,Other
C0100188122,3,2,3,323,Other
C0100188991,3,1,1,311,Other
C0100189543,1,1,1,111,Other
C0100189936,1,2,1,121,Other
C0100190309,5,5,4,554,Lovers
C0100190581,2,3,4,234,Other
C0100191205,4,1,2,412,Other
C0100191515,1,1,1,111,Other
